,Datetime,RTU_COMP_WATT,RTU_LA_COND_TEMP,RTU_MA_HUM,RTU_MA_TEMP,RTU_OA_HUM,RTU_OA_TEMP,RTU_RA_HUM,RTU_RA_TEMP,RTU_REFG_COND_TEMP_1,RTU_REFG_COND_TEMP_2,RTU_REFG_DISC_PRES_1,RTU_REFG_DISC_PRES_2,RTU_REFG_DISC_TEMP_1,RTU_REFG_DISC_TEMP_2,RTU_REFG_SUCT_PRES_1,RTU_REFG_SUCT_PRES_2,RTU_REFG_SUCT_TEMP_1,RTU_REFG_SUCT_TEMP_2,RTU_SA_FAN_WATT,RTU_SA_FLOW,RTU_SA_HUM,RTU_SA_TEMP,RTU_TOT_WATT,ZA_HUM,ZA_TEMP
0,2020-06-02 14:30:00,637.00000775,26.5978305,44.064009999999996,22.30199375,45.019249,22.05037575,44.72283175,24.905756,23.1303625,23.226149,9.471978,8.267986,33.02952675,24.0033745,7.62946925,8.30043175,22.255671,24.50334325,1697.250122,3114.6428834999997,43.58381925,24.66866125,2511.2500915,-14.803085,23.134128
1,2020-06-02 15:00:00,837.2857867142857,25.99805985714286,42.981535428571426,22.116585142857144,41.88965485714285,21.810537714285715,43.978978857142856,24.689940714285715,22.46119571428571,22.58673,9.589144571428571,8.160575857142858,39.18556942857143,23.576128714285716,7.4264784285714285,8.184493142857143,20.807238,24.062579285714286,1701.5715505714286,3119.438337142857,43.51504085714286,23.914769142857143,2753.714425142857,-14.803085,23.037020428571427
2,2020-06-02 15:30:00,1211.0,24.720888,41.859066,22.023493,39.677689,21.628332,42.47884,24.623411,23.041868,22.385935,9.967681,8.301359,28.263855,23.435425,7.375203,8.307355,22.084585,23.939344,1696.000122,3086.973633,41.700634,24.619753,3192.000244,-14.803085,22.925425
3,2020-06-02 16:00:00,35.000004,26.856861000000002,42.1042365,22.4083425,41.5263195,22.105148999999997,42.339239,24.991335,23.408351500000002,23.3583765,8.699743,8.5907875,24.481744499999998,23.947922499999997,8.692402000000001,8.612136,24.5559285,24.425432,1687.000122,3044.088257,41.6202185,25.1740305,1777.500122,-14.803085,22.905759500000002
4,2020-06-02 16:30:00,1703.875083875,30.016299,38.142109500000004,22.9937185,31.459698500000002,24.0163,42.7435655,25.625891625,22.295613375,23.8394,11.319135750000001,8.09335375,46.868657625,25.147626125,6.780827625,8.133627,21.52301575,25.419303875,1701.25010675,3162.7144165,41.55145975,23.357501125,3760.5002744999997,-14.803085,23.140188
5,2020-06-02 17:00:00,2065.642918142857,30.16149607142857,38.053243,22.954127571428568,31.20507985714286,24.49350014285714,41.65458785714286,25.70556457142857,21.66009635714286,24.044147000000002,11.606309714285715,7.945226285714286,52.41482678571429,26.083821928571428,6.302862,7.992999571428571,21.05951035714286,25.90053592857143,1707.9286934285715,3097.8096924285715,42.862170142857146,22.705912214285714,4207.143048857143,-14.803085,23.321977642857142
6,2020-06-02 17:30:00,2578.7143554285713,28.023501000000003,38.807703571428576,22.385534142857143,32.89152271428571,23.23041342857143,39.90894142857143,24.96405542857143,21.38285157142857,23.031771999999997,12.237992714285713,7.717874142857143,51.907284000000004,24.607169142857142,5.910877428571429,7.757321714285715,20.079552714285715,24.647168714285716,1712.000122,3111.301688142857,42.409152,22.499140428571426,4799.714634285714,-14.803085,23.126251142857143
7,2020-06-02 18:00:00,1770.0000747999998,27.4544468,38.9679508,22.3620758,34.360413199999996,23.0035296,39.232424200000004,24.970375999999998,22.2285102,22.9952204,11.1088542,8.0472082,43.3976158,24.6893198,6.5703496,8.085208,20.565973399999997,25.0580296,1703.4001219999998,3186.5699219999997,40.569448799999996,23.539619,3847.2002196000003,-14.803085,23.027693199999998
8,2020-06-02 18:30:00,17.000002,23.158476,40.093845,21.76531,35.202953,22.509924,38.946301,24.511629,22.773245,22.477554,8.486067,8.48292,28.685236,23.891449,8.452922,8.514245,23.054359,24.11986,1693.000122,3031.992188,40.436348,24.475365,1756.000122,-14.803085,22.981499
9,2020-06-02 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
10,2020-06-02 19:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
11,2020-06-02 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
12,2020-06-02 20:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
13,2020-06-02 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
14,2020-06-02 21:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
15,2020-06-02 22:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
16,2020-06-02 22:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
17,2020-06-02 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
18,2020-06-02 23:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
19,2020-06-03 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020-06-03 00:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
21,2020-06-03 01:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
22,2020-06-03 01:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
23,2020-06-03 02:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
24,2020-06-03 02:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
25,2020-06-03 03:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
26,2020-06-03 03:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
27,2020-06-03 04:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
28,2020-06-03 04:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
29,2020-06-03 05:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
30,2020-06-03 05:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
31,2020-06-03 06:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
32,2020-06-03 06:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
33,2020-06-03 07:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
34,2020-06-03 07:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
35,2020-06-03 08:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
36,2020-06-03 08:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
37,2020-06-03 09:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
38,2020-06-03 09:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
39,2020-06-03 10:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
