,Nome,Acurácia,Precisão,Recall,F1-score,Matriz de Confusão
0,logreg,0.8455869450780839,0.9819881552542705,0.7040884365678189,0.8201365327228877,"[[28127   368]
 [ 8432 20063]]"
1,SVC,0.9284084927180207,0.9978385873333061,0.8586769608703281,0.9230421004979629,"[[28442    53]
 [ 4027 24468]]"
2,KNN,0.9199684155114932,0.9966384462151394,0.8427794349885945,0.9132741343575896,"[[28414    81]
 [ 4480 24015]]"
3,GaussianNB,0.5476574837690823,0.5432539176965219,0.5985611510791367,0.5695680486216627,"[[14155 14340]
 [11439 17056]]"
4,Perceptron,0.8046323916476574,0.96432201123295,0.6326723986664327,0.7640601822420005,"[[27828   667]
 [10467 18028]]"
5,LinearSVC,0.8424986839796456,0.9817365121674317,0.6979821021231795,0.8158920293719489,"[[28125   370]
 [ 8606 19889]]"
6,SGD,0.8447271451131777,0.9773080660835762,0.7058431303737498,0.8196841569026999,"[[28028   467]
 [ 8382 20113]]"
7,Dtree,0.8829268292682927,0.9955943134850342,0.7692577645200912,0.8679125752296484,"[[28398    97]
 [ 6575 21920]]"
8,RForest,0.92131952974206,0.9975135717541751,0.844744692051237,0.9147949682666363,"[[28435    60]
 [ 4424 24071]]"
9,ADA,0.783172486401123,0.9128210375524404,0.6261449377083699,0.7427822068649694,"[[26791  1704]
 [10653 17842]]"
10,GBC,0.8464642919810493,0.9945398988128037,0.6967538164590279,0.8194312600602585,"[[28386   109]
 [ 8641 19854]]"
11,ETC,0.9347429373574311,0.9975899742930592,0.8715915072819793,0.9303440654792007,"[[28435    60]
 [ 3659 24836]]"
12,logreg,0.845025443060186,0.9787679571463356,0.7053518161080892,0.81986538853763,"[[28059   436]
 [ 8396 20099]]"
13,SVC,0.929391121249342,0.9991840398188568,0.8594841200210563,0.9240840659547976,"[[28475    20]
 [ 4004 24491]]"
14,KNN,0.9207580277241622,0.9992920501395077,0.8421126513423408,0.9139940580482975,"[[28478    17]
 [ 4499 23996]]"
